cruise_id,STNNBR,CASTNO,ISO_DATETIME_UTC_START_EVENT,GEOTRC_SAMPNO,depth_GEOTRC_CTD,BTLNBR,Lab,Al_TP_CONC_BOTTLE,Ba_TP_CONC_BOTTLE,Cd_TP_CONC_BOTTLE,Ce_TP_CONC_BOTTLE,Co_TP_CONC_BOTTLE,Cr_TP_CONC_BOTTLE,Cu_TP_CONC_BOTTLE,Fe_TP_CONC_BOTTLE,La_TP_CONC_BOTTLE,Mn_TP_CONC_BOTTLE,Nd_TP_CONC_BOTTLE,Ni_TP_CONC_BOTTLE,P_TP_CONC_BOTTLE,Pb_TP_CONC_BOTTLE,Sc_TP_CONC_BOTTLE,Th_TP_CONC_BOTTLE,Ti_TP_CONC_BOTTLE,V_TP_CONC_BOTTLE,Y_TP_CONC_BOTTLE,Zn_TP_CONC_BOTTLE,Al_TP_err,Ba_TP_err,Cd_TP_err,Ce_TP_err,Co_TP_err,Cr_TP_err,Cu_TP_err,Fe_TP_err,La_TP_err,Mn_TP_err,Nd_TP_err,Ni_TP_err,P_TP_err,Pb_TP_err,Sc_TP_err,Th_TP_err,Ti_TP_err,V_TP_err,Y_TP_err,Zn_TP_err,Al_TP_qc,Ba_TP_qc,Cd_TP_qc,Ce_TP_qc,Co_TP_qc,Cr_TP_qc,Cu_TP_qc,Fe_TP_qc,La_TP_qc,Mn_TP_qc,Nd_TP_qc,Ni_TP_qc,P_TP_qc,Pb_TP_qc,Sc_TP_qc,Th_TP_qc,Ti_TP_qc,V_TP_qc,Y_TP_qc,Zn_TP_qc,Al_TPL_CONC_BOTTLE,Ba_TPL_CONC_BOTTLE,Cd_TPL_CONC_BOTTLE,Co_TPL_CONC_BOTTLE,Cu_TPL_CONC_BOTTLE,Fe_TPL_CONC_BOTTLE,La_TPL_CONC_BOTTLE,Mn_TPL_CONC_BOTTLE,Ni_TPL_CONC_BOTTLE,P_TPL_CONC_BOTTLE,Pb_TPL_CONC_BOTTLE,Th_TPL_CONC_BOTTLE,Ti_TPL_CONC_BOTTLE,V_TPL_CONC_BOTTLE,Y_TPL_CONC_BOTTLE,Zn_TPL_CONC_BOTTLE,Al_TPL_err,Ba_TPL_err,Cd_TPL_err,Co_TPL_err,Cu_TPL_err,Fe_TPL_err,La_TPL_err,Mn_TPL_err,Ni_TPL_err,P_TPL_err,Pb_TPL_err,Th_TPL_err,Ti_TPL_err,V_TPL_err,Y_TPL_err,Zn_TPL_err,Al_TPL_qc,Ba_TPL_qc,Cd_TPL_qc,Co_TPL_qc,Cu_TPL_qc,Fe_TPL_qc,La_TPL_qc,Mn_TPL_qc,Ni_TPL_qc,P_TPL_qc,Pb_TPL_qc,Th_TPL_qc,Ti_TPL_qc,V_TPL_qc,Y_TPL_qc,Zn_TPL_qc,BTLNBR_FLAG_W,BTL_ISO_DATETIME_UTC,BTL_LAT,BTL_LON
TN303,1,5,2013-10-29T14:53:00.00Z,2127,20,GF-36,1,866.7619,56.9121,63.8668,nd,12.1281,nd,58.2591,375.3135,0.6611,110.0106,nd,44.1651,83346.2892,0.787991,nd,0.031942,36.1044,18.7765,0.8163,148.6908,298.5481,4.0307,2.3367,nd,0.7446,nd,8.7165,50.2427,0.1007,5.7525,nd,4.7813,3547.26,0.0836,nd,0.007,9.2104,1.6623,0.1024,19.0642,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,22.9534,67.9225,10.1892,26.7753,108.8913,0.2766,126.6868,44.1361,72977.4878,0.8307,nd,nd,13.3232,0.291,54.0702,nd,1.7178,2.6336,1.1162,10.8059,35.5226,0.0283,5.7301,8.7272,2864.1877,0.1453,nd,nd,0.8931,0.0493,19.1125,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:42:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2125,30,GF-30,1,1432.7934,69.9837,67.1652,nd,11.4058,nd,50.3497,499.0428,0.8141,200.1039,nd,54.448,123404.6901,0.875205,nd,0.025783,27.9067,22.8332,0.6118,39.628,313.2768,4.3224,2.4276,nd,0.84,nd,8.757,52.8135,0.1044,10.096,nd,6.3625,5064.5525,0.0624,nd,0.0051,5.5637,2.0189,0.1004,10.0727,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,44.2706,101.2322,16.7217,39.46,144.2009,0.4267,315.5495,65.9143,139609.3342,1.1541,nd,nd,21.3675,0.4406,90.5453,nd,2.7855,3.772,1.241,16.0633,52.4427,0.0312,11.042,11.7928,5432.8195,0.2189,nd,nd,2.5448,0.085,29.647,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:40:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2123,45,GF-28,1,4050.4344,89.9093,37.762,nd,7.5627,nd,58.2344,1540.8006,1.1388,419.1021,nd,65.5096,38847.1862,2.417397,nd,0.030747,133.0053,25.5107,0.7627,72.3337,273.1947,3.606,1.412,nd,0.6985,nd,5.8269,62.6225,0.0681,20.6979,nd,5.0771,2025.289,0.1047,nd,0.0057,11.9156,1.8081,0.0678,6.0948,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,22.9621,34.7436,5.4667,17.3779,72.3094,0.2368,365.016,36.5776,26009.8539,1.008,nd,nd,12.849,0.1303,42.7454,nd,1.1933,1.4869,0.5388,6.2159,20.0764,0.013,11.5956,4.7878,1123.8841,0.0917,nd,nd,0.853,0.0299,12.6239,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:38:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2121,65,GF-26,1,910.9783,127.9084,31.0659,nd,6.0668,nd,38.924,826.7,0.7469,320.5708,nd,46.9499,27090.1536,1.018977,nd,0.014216,44.6485,13.6748,0.4114,47.326,132.8849,4.464,1.1736,nd,0.7054,nd,3.983,35.6188,0.0478,15.72,nd,4.2101,1240.9985,0.0481,nd,0.0029,3.7567,1.2843,0.0448,4.3824,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,40.0785,30.2418,4.5785,16.1597,76.45,0.1483,313.304,30.9995,16190.8397,0.9467,nd,nd,9.6034,0.09,42.1525,nd,1.3882,1.1095,0.2785,4.3725,15.6149,0.0118,11.5586,4.413,642.626,0.0695,nd,nd,0.4998,0.0252,8.3706,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:35:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2119,80,GF-24,1,907.8043,1806.3939,35.0205,nd,7.6363,nd,83.2992,1397.9022,1.3426,30.7381,nd,46.1843,40669.7791,0.861088,nd,0.026963,46.0376,38.7717,3.9054,162.4657,165.9456,56.4473,1.2599,nd,0.4802,nd,5.6881,57.4187,0.0796,3.1366,nd,4.6814,1895.5651,0.05,nd,0.002,7.251,3.7534,0.1367,9.2165,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,358.519,34.2898,6.368,45.7317,618.4468,0.3848,24.4562,26.8139,27674.397,0.7367,nd,nd,39.7499,1.0164,138.253,nd,10.891,1.5095,0.5013,5.6791,29.1728,0.0256,1.8988,4.4757,1004.7005,0.0797,nd,nd,2.0856,0.0421,18.6953,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:33:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2117,130,GF-18,1,1726.6465,541.1583,9.2704,nd,3.768,nd,125.1801,1346.8458,1.2939,21.59,nd,93.2829,20277.4219,0.782942,nd,0.031859,54.0532,59.6926,1.7217,62.1369,145.2575,16.9992,0.406,nd,0.2959,nd,5.8939,55.6916,0.0653,2.06,nd,5.5691,918.7954,0.0527,nd,0.0036,4.5307,4.4588,0.0736,4.5,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,93.4258,8.3677,2.7821,43.6759,583.4132,0.609,16.4021,58.921,11899.152,0.6135,nd,nd,41.3554,0.6109,32.2466,nd,2.9627,0.3565,0.4205,5.2617,26.0874,0.0213,1.1703,5.8942,593.1297,0.0657,nd,nd,1.9933,0.0314,8.708,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:29:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2115,180,GF-16,1,2957.8584,306.6344,5.9571,nd,2.1814,nd,104.2231,3681.8838,1.0738,18.0062,nd,91.246,13733.8328,2.591318,nd,0.073367,81.7847,45.3251,2.096,81.2181,146.3206,9.9126,0.2872,nd,0.2095,nd,4.4726,123.5283,0.0459,1.5485,nd,4.9384,671.8398,0.1122,nd,0.0041,7.1938,3.714,0.0726,3.8757,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,70.4513,7.0481,1.7771,39.1428,2717.5701,0.9359,17.5098,69.3205,12820.4414,1.1115,nd,nd,47.1553,1.3909,46.0529,nd,2.2881,0.2724,0.3951,3.741,99.2628,0.0392,1.139,5.0935,515.9978,0.0576,nd,nd,2.5569,0.0488,6.7587,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:25:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2113,210,GF-10,1,3191.5847,304.4582,5.457,nd,1.9963,nd,107.4073,2550.4492,0.9702,18.8084,nd,82.9905,16339.8769,0.967363,nd,0.050137,63.7919,42.6791,1.9354,75.7397,194.4341,9.8633,0.2741,nd,0.1921,nd,4.7773,119.2613,0.0448,1.4293,nd,4.0523,910.7432,0.0454,nd,0.0025,4.0741,2.6558,0.0715,4.6938,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,77.9198,3.6178,1.1571,31.8972,1406.3725,0.679,11.6282,41.454,5907.8304,0.826,nd,nd,27.3918,1.016,40.7037,nd,2.4331,0.167,0.2343,3.0359,54.1132,0.0297,0.744,3.0962,241.6536,0.0481,nd,nd,1.2291,0.0356,6.4289,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:22:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2111,235,GF-08,1,3616.7733,145.4968,3.6453,nd,1.5096,nd,59.0412,4414.3997,0.8522,15.1237,nd,42.4401,13425.9045,1.556934,nd,0.082283,66.0168,23.2165,1.0955,68.7718,159.7763,4.7405,0.2478,nd,0.1971,nd,3.123,169.0202,0.0433,1.5873,nd,2.0908,656.5576,0.0657,nd,0.004,6.1738,1.4735,0.0502,4.1066,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,33.9077,4.1481,1.0414,26.8641,3639.7286,0.8174,10.725,30.6156,11598.4211,0.9183,0.0097,nd,23.4232,0.7637,24.3027,nd,1.1565,0.2136,0.0896,3.4356,136.6658,0.0294,0.6781,3.016,767.6688,0.0503,0.0032,nd,1.114,0.0333,5.3114,6,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2013-10-29T15:19:00.00Z,-12.0057,-79.1952
TN303,1,5,2013-10-29T14:53:00.00Z,2109,260,GF-06,1,2931.2395,316.0935,3.7422,nd,1.3185,nd,83.56,2527.9028,0.7049,14.0845,nd,49.9574,14734.6313,0.69917,nd,0.053065,53.3524,25.0712,1.2211,41.5362,192.9764,9.8549,0.2052,nd,0.175,nd,4.7397,115.4129,0.0424,1.317,nd,3.604,641.0399,0.0321,nd,0.0028,3.9975,1.5455,0.0501,4.0064,2,2,2,9,2,9,2,2,2,2,9,2,2,2,9,2,2,2,2,2,nd,66.2567,3.6232,0.979,31.4585,1598.6314,0.5475,9.8624,30.519,7867.9678,0.6176,nd,nd,19.8932,0.7622,28.8431,nd,2.0722,0.2497,0.1371,3.1991,57.4994,0.0195,0.8398,3.0663,314.9501,0.0434,nd,nd,1.0503,0.0323,5.7306,6,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2013-10-29T15:16:00.00Z,-12.0057,-79.1952
