cruise_id,STNNBR,GEOTRC_SAMPNO,GEOTRC_EVENTNO,ISO_DateTime_UTC,CASTNO,PUMP_LAT,PUMP_LON,BTMDEPTH,DEPTH_MAX,sliters,Y_SPT_CONC_PUMP,Mo_SPT_CONC_PUMP,Ag_SPT_CONC_PUMP,Cd_SPT_CONC_PUMP,Ba_SPT_CONC_PUMP,Nd_SPT_CONC_PUMP,Pb_SPT_CONC_PUMP,Th_SPT_CONC_PUMP,Al_SPT_CONC_PUMP,P_SPT_CONC_PUMP,Sc_SPT_CONC_PUMP,Ti_SPT_CONC_PUMP,V_SPT_CONC_PUMP,Mn_SPT_CONC_PUMP,Fe_SPT_CONC_PUMP,Co_SPT_CONC_PUMP,Ni_SPT_CONC_PUMP,Cu_SPT_CONC_PUMP,Y_SPT_CONC_PUMP_QV_ODV,Mo_SPT_CONC_PUMP_QV_ODV,Ag_SPT_CONC_PUMP_QV_ODV,Cd_SPT_CONC_PUMP_QV_ODV,Ba_SPT_CONC_PUMP_QV_ODV,Nd_SPT_CONC_PUMP_QV_ODV,Pb_SPT_CONC_PUMP_QV_ODV,Th_SPT_CONC_PUMP_QV_ODV,Al_SPT_CONC_PUMP_QV_ODV,P_SPT_CONC_PUMP_QV_ODV,Sc_SPT_CONC_PUMP_QV_ODV,Ti_SPT_CONC_PUMP_QV_ODV,V_SPT_CONC_PUMP_QV_ODV,Mn_SPT_CONC_PUMP_QV_ODV,Fe_SPT_CONC_PUMP_QV_ODV,Co_SPT_CONC_PUMP_QV_ODV,Ni_SPT_CONC_PUMP_QV_ODV,Cu_SPT_CONC_PUMP_QV_ODV,Y_SPT_CONC_PUMP_STDEV,Mo_SPT_CONC_PUMP_STDEV,Ag_SPT_CONC_PUMP_STDEV,Cd_SPT_CONC_PUMP_STDEV,Ba_SPT_CONC_PUMP_STDEV,Nd_SPT_CONC_PUMP_STDEV,Pb_SPT_CONC_PUMP_STDEV,Th_SPT_CONC_PUMP_STDEV,Al_SPT_CONC_PUMP_STDEV,P_SPT_CONC_PUMP_STDEV,Sc_SPT_CONC_PUMP_STDEV,Ti_SPT_CONC_PUMP_STDEV,V_SPT_CONC_PUMP_STDEV,Mn_SPT_CONC_PUMP_STDEV,Fe_SPT_CONC_PUMP_STDEV,Co_SPT_CONC_PUMP_STDEV,Ni_SPT_CONC_PUMP_STDEV,Cu_SPT_CONC_PUMP_STDEV,qliters,Y_LPT_CONC_PUMP,Mo_LPT_CONC_PUMP,Ag_LPT_CONC_PUMP,Cd_LPT_CONC_PUMP,Ba_LPT_CONC_PUMP,Nd_LPT_CONC_PUMP,Pb_LPT_CONC_PUMP,Th_LPT_CONC_PUMP,Al_LPT_CONC_PUMP,P_LPT_CONC_PUMP,Sc_LPT_CONC_PUMP,Ti_LPT_CONC_PUMP,V_LPT_CONC_PUMP,Mn_LPT_CONC_PUMP,Fe_LPT_CONC_PUMP,Co_LPT_CONC_PUMP,Ni_LPT_CONC_PUMP,Cu_LPT_CONC_PUMP,Y_LPT_CONC_PUMP_QV_ODV,Mo_LPT_CONC_PUMP_QV_ODV,Ag_LPT_CONC_PUMP_QV_ODV,Cd_LPT_CONC_PUMP_QV_ODV,Ba_LPT_CONC_PUMP_QV_ODV,Nd_LPT_CONC_PUMP_QV_ODV,Pb_LPT_CONC_PUMP_QV_ODV,Th_LPT_CONC_PUMP_QV_ODV,Al_LPT_CONC_PUMP_QV_ODV,P_LPT_CONC_PUMP_QV_ODV,Sc_LPT_CONC_PUMP_QV_ODV,Ti_LPT_CONC_PUMP_QV_ODV,V_LPT_CONC_PUMP_QV_ODV,Mn_LPT_CONC_PUMP_QV_ODV,Fe_LPT_CONC_PUMP_QV_ODV,Co_LPT_CONC_PUMP_QV_ODV,Ni_LPT_CONC_PUMP_QV_ODV,Cu_LPT_CONC_PUMP_QV_ODV,Y_LPT_CONC_PUMP_STDEV,Mo_LPT_CONC_PUMP_STDEV,Ag_LPT_CONC_PUMP_STDEV,Cd_LPT_CONC_PUMP_STDEV,Ba_LPT_CONC_PUMP_STDEV,Nd_LPT_CONC_PUMP_STDEV,Pb_LPT_CONC_PUMP_STDEV,Th_LPT_CONC_PUMP_STDEV,Al_LPT_CONC_PUMP_STDEV,P_LPT_CONC_PUMP_STDEV,Sc_LPT_CONC_PUMP_STDEV,Ti_LPT_CONC_PUMP_STDEV,V_LPT_CONC_PUMP_STDEV,Mn_LPT_CONC_PUMP_STDEV,Fe_LPT_CONC_PUMP_STDEV,Co_LPT_CONC_PUMP_STDEV,Ni_LPT_CONC_PUMP_STDEV,Cu_LPT_CONC_PUMP_STDEV,POM_SPT_CONC_PUMP,POM_SPT_CONC_PUMP_STDEV,OPAL_SPT_CONC_PUMP,OPAL_SPT_CONC_PUMP_STDEV,CaCO3_SPT_CONC_PUMP,CaCO3_SPT_CONC_PUMP_STDEV,LITHO_SPT_CONC_PUMP,LITHO_SPT_CONC_PUMP_STDEV,FeOH3_SPT_CONC_PUMP,FeOH3_SPT_CONC_PUMP_STDEV,MnO2_SPT_CONC_PUMP,MnO2_SPT_CONC_PUMP_STDEV,POM_LPT_CONC_PUMP,POM_LPT_CONC_PUMP_STDEV,OPAL_LPT_CONC_PUMP,OPAL_LPT_CONC_PUMP_STDEV,CaCO3_LPT_CONC_PUMP,CaCO3_LPT_CONC_PUMP_STDEV,LITHO_LPT_CONC_PUMP,LITHO_LPT_CONC_PUMP_STDEV,FeOH3_LPT_CONC_PUMP,FeOH3_LPT_CONC_PUMP_STDEV,MnO2_LPT_CONC_PUMP,MnO2_LPT_CONC_PUMP_STDEV,SPM_SPT_CONC_PUMP,SPM_SPT_CONC_PUMP_STDEV,SPM_LPT_CONC_PUMP,SPM_LPT_CONC_PUMP_STDEV,POM_SPT_CONC_PUMP_QV_ODV,OPAL_SPT_CONC_PUMP_QV_ODV,CaCO3_SPT_CONC_PUMP_QV_ODV,LITHO_SPT_CONC_PUMP_QV_ODV,FeOH3_SPT_CONC_PUMP_QV_ODV,MnO2_SPT_CONC_PUMP_QV_ODV,SPM_SPT_CONC_PUMP_QV_ODV,POM_LPT_CONC_PUMP_QV_ODV,OPAL_LPT_CONC_PUMP_QV_ODV,CaCO3_LPT_CONC_PUMP_QV_ODV,LITHO_LPT_CONC_PUMP_QV_ODV,FeOH3_LPT_CONC_PUMP_QV_ODV,MnO2_LPT_CONC_PUMP_QV_ODV,SPM_LPT_CONC_PUMP_QV_ODV,PIC_SPT_PUMP_CONC,PIC_LPT_PUMP_CONC,PIC_SPT_PUMP_CONC_STDEV,PIC_LPT_PUMP_CONC_STDEV,bSi_SPT_PUMP_CONC,bSi_LPT_PUMP_CONC,bSi_SPT_PUMP_CONC_STDEV,bSi_LPT_PUMP_CONC_STDEV,POC_LPT_PUMP_CONC,POC_LPT_PUMP_CONC_QV_ODV,PN_LPT_PUMP_CONC,PN_LPT_PUMP_CONC_QV_ODV,POC_SPT_PUMP_CONC,POC_SPT_PUMP_CONC_QV_ODV,PN_SPT_PUMP_CONC,PN_SPT_PUMP_CONC_QV_ODV,d13C_LPT_PUMP_CONC_raw,d13C_LPT_PUMP_CONC_QV_ODV,d15N_LPT_PUMP_CONC_raw,d15N_LPT_PUMP_CONC_QV_ODV,d13C_LPT_PUMP_CONC_dbcorr,d13C_LPT_PUMP_CONC_dbcorr_QV_ODV,d15N_LPT_PUMP_CONC_dbcorr,d15N_LPT_PUMP_CONC_dbcorr_QV_ODV,POC_LPT_PUMP_CONC_STDEV,POC_SPT_PUMP_CONC_STDEV,PN_LPT_PUMP_CONC_STDEV,PN_SPT_PUMP_CONC_STDEV,PIC_SPT_PUMP_CONC_QV_ODV,PIC_LPT_PUMP_CONC_QV_ODV
bSi_SPT_PUMP_CONC_QV_ODV,bSi_LPT_PUMP_CONC_QV_ODV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN303,1,2083,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,450,238.35,0.754113143,2.677700983,0.448984318,2.108322165,286.4567153,0.128954223,0.221820931,0.012954526,1118.735225,3918.530451,0.199817864,31.66297136,14.03469209,7.141796592,732.8923794,0.538866978,28.10330567,66.25637249,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0681,0.436553,0.133233,0.156282,22.361472,0.0144,0.0835,0.0187,87.607739,431.146553,0.026,6.335289,1.181413,0.999028,56.906122,0.0648,2.100709,3.580613,1248.6,1.434860403,0.846140453,0.12957673,0.405038943,43.07173058,0.064251688,0.166952308,0.016854721,748.5191223,699.3240436,0.216158451,248.257784,8.52115014,8.500028167,494.5970015,0.29981679,13.52843107,8.243903905,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036594834,0.075564751,0.184530524,0.031722346,0.355965366,0.012153927,0.023779621,0.000792765,13.45901615,6.971890692,0.002996769,2.962423331,0.055958043,2.122615346,12.5959898,0.021412364,1.063608496,0.927149438,7.853136,0.392544,2.038848,0.043008,2.2758192,2.2758192,0.375694665,0.029420509,0.053159953,0.006395012,0.000263832,9.08E-05,0.20304,0.02256,1.223712,0.042336,0.2461968,0.2461968,0.251368362,0.004519819,0.036020904,0.001380183,0.000499932,0.000184505,12.59692165,2.310041295,1.960837998,0.251238918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022736965,0.002456084,0.001930829,0.000262561,30.34378169,18.21485598,0.64162798,0.633509531,0.008969504,0,0.000596841,0,0.348089152,0,0.039468782,0,-21.7759,1,6.283,4,-20.34702378,1,10.13314319,4,0.001044991,0.01744468,0.000268379,0.004884185,0,0
TN303,1,2084,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,235,465.4,2.016332925,4.602305869,0.588925403,6.99126844,187.2029591,0.40177045,1.111034077,0.149865839,3623.261347,14305.42454,0.851522858,138.5924975,52.66822988,16.12476067,4935.62938,1.73176448,65.20301577,110.0007556,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155059,0.726273,0.15985,0.507923,14.623887,0.0361,0.138527,0.0363,253.725544,1568.886925,0.0988,19.046729,4.416255,1.136893,268.92214,0.133619,4.228377,5.578772,1141.8,1.037614057,1.794459878,0.223414196,1.324457701,64.01487667,0.250581808,1.742727539,0.065167508,3184.328897,2648.986652,0.591591966,170.0997795,32.8939236,13.54963482,3432.685006,1.146015551,34.50498499,24.62897071,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040017788,0.082632815,0.201790867,0.034689544,0.389261128,0.013290763,0.026003884,0.000866917,14.7179257,7.624017094,0.003277076,3.239518103,0.061192164,2.321157401,13.77417487,0.023415202,1.163094734,1.013871771,13.542768,0.430896,6.390048,0.249984,5.9187312,5.9187312,1.21676687,0.085206339,0.446047791,0.029309784,0.0002457,0.000125363,1.96272,0.024816,3.034752,0.046368,0.7015608,0.7015608,1.069364182,0.004942587,0.295264785,0.00150928,0.000161908,0.000201763,27.51460756,5.940352425,7.063823674,0.703691588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059141816,0.007006481,0.002111432,0.00028712,95.08664632,45.15939685,3.716811836,0.692765808,0.086976087,0,0.008773237,0,0.600348368,0,0.083125903,0,-21.0279,1,4.7794,1,-20.80729745,1,4.943715684,1,0.001070363,0.019076394,0.000274895,0.005341034,0,0
TN303,1,2085,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,210,464,2.819050067,4.274910264,0.566034729,4.971131794,88.75070909,0.283521686,0.914164388,0.037398716,1824.685582,9383.610368,0.559685228,139.0161766,49.32689344,11.51926549,1777.527982,1.452687847,60.52884168,94.11018375,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.213332,0.676682,0.15571,0.36193,22.067317,0.0258,0.550897,0.0199,132.950208,1029.491198,0.0656,19.104906,4.136273,1.071056,104.532309,0.113666,3.951314,4.747088,1084.7,0.984187193,2.059443555,0.334848224,3.041399298,34.3408326,0.218517943,0.361581565,0.04496214,2128.065134,3685.45663,0.559497833,149.1624165,38.64849655,14.53805806,2360.30799,1.012983221,35.25921954,21.58030938,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042124375,0.086982713,0.212413398,0.036515646,0.409752333,0.013990406,0.027372762,0.000912553,15.4926962,8.025355138,0.003449586,3.410050494,0.064413398,2.443346106,14.49926511,0.024647808,1.224321534,1.067243283,14.882832,0.453456,5.932416,0.166656,6.760404,6.760404,0.612767546,0.044647458,0.148938339,0.01156842,0.00041909,0.000101479,2.522208,0.024816,3.67248,0.049056,1.0698552,1.0698552,0.714648739,0.005202771,0.204407496,0.001588731,0.000584668,0.000212384,28.33777698,6.777808459,8.184184103,1.071379695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067548919,0.010694201,0.002222581,0.000302234,88.28484481,54.64505093,2.476488878,0.72923389,0.111756205,0,0.009829033,0,0.659724446,0,0.094225947,0,-20.6042,1,5.6771,1,-20.40118802,1,5.879780214,1,0.001073593,0.0200806,0.000275724,0.005622193,0,0
TN303,1,2086,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,180,501.2,1.457034504,4.225541305,0.910238376,5.852129372,82.10875208,0.285961166,1.09531144,0.044600067,2012.736951,8741.723302,0.529553163,80.54398845,43.46456985,11.69511303,2898.857788,1.530370086,62.64853346,93.61062587,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.114403,0.6671,0.221673,0.425375,6.440861,0.0259,0.135374,0.019,144.423536,959.060953,0.0621,11.613274,3.644829,1.005278,160.811657,0.118485,4.052039,5.966081,1127.5,0.253579438,0.39468732,0.126652939,0.592589633,17.27861912,0.058257223,0.547511674,0.016927246,831.7593181,766.1316811,0.144258387,142.3000322,10.46368426,4.52125221,518.4562195,0.42347286,11.06484183,7.715530388,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0.04052533,0.083680841,0.204350166,0.035129509,0.394198098,0.013459329,0.026333689,0.000877912,14.90459208,7.720711945,0.003318639,3.280604674,0.06196826,2.350596471,13.94887172,0.023712175,1.17784618,1.026730633,13.481856,0.435408,7.325472,0.272832,8.6399064,8.6399064,0.675919125,0.048500441,0.264574869,0.017495549,0.000374397,9.78E-05,1.958208,0.02256,2.825088,0.04704,0.9587664,0.9587664,0.279322159,0.005005273,0.036697456,0.001528422,0.00012763,0.000204322,30.38810279,8.655331085,6.058209645,0.960305387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08633398,0.009578714,0.002138211,0.000290761,109.0069877,42.03718132,4.060621996,0.701552106,0.086780302,0,0.009480361,0,0.597625296,0,0.071019251,0,-20.3318,1,4.0145,1,-20.0661517,1,4.110249322,1,0.000993909,0.019318339,0.00025526,0.005408774,0,0
TN303,1,2087,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,80,431.9,2.417785074,10.08195714,0.859585598,26.41069983,131.655263,0.548963701,0.497087739,0.090578185,3081.160779,26894.81545,0.855585176,101.05938,102.6874606,22.06408446,7973.430827,6.123947224,115.5448897,129.8926384,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184761,1.568475,0.216517,1.914946,10.301215,0.049,0.0818,0.027,217.575807,2949.023524,0.0994,14.411931,8.608505,1.311708,431.486121,0.458133,7.302752,6.339137,674.8,0.258129345,1.540884352,0.136331894,17.81069107,21.68013619,0.045728627,1.012093223,0.004055679,286.8964395,16007.02352,0.072599552,403.735427,20.29953055,51.88821968,839.1864611,1.120561368,18.45683749,12.69479108,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.067712374,0.139819426,0.341441631,0.058696682,0.65865198,0.022488727,0.044000052,0.001466873,24.90356782,12.90027077,0.005545,5.481448978,0.103540623,3.927530411,23.3066877,0.039619854,1.968022478,1.715528732,48.497232,0.728688,14.490336,0.579936,4.4695728,4.4695728,1.034718172,0.073066502,0.782993151,0.046385224,0.000934716,0.000131804,1.944672,0.027072,0,0.078624,nd,nd,0.096345819,0.008363138,0.083250093,0.002553788,0.004417588,0.000341395,69.27578684,4.566400671,nd,nd,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0.044657676,nd,0.003572664,0.000383941,215.6278597,0,8.629709764,1.17219917,0.086247964,0,0.009949443,0,2.14967203,0,0.300271641,0,-22.3999,1,6.9244,1,-22.29904533,1,7.221457827,1,0.001153385,0.032278345,0.000296217,0.009037334,0,0
TN303,1,2088,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,60,504.2,0.307629756,3.789595314,0.164965939,29.10984865,71.82359059,0.055289688,0.181281337,0.004242893,212.0155088,21342.70892,0.109582055,17.01698829,13.7067409,101.9759607,631.4249525,3.831698373,63.32653738,41.16069465,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0431,0.600861,0.0985,2.110504,5.642798,0.0128,0.0878,0.0177,63.505966,2340.268976,0.0179,5.043038,1.153502,9.27375,236.966933,0.287466,32.343388,3.491982,1025.1,0.547278378,15.19087511,0.404964001,28.19907239,132.1141927,0.081950588,0.557325835,0.010219727,412.6149078,32139.54343,0.165806481,139.5334645,23.62217131,88.67909692,437.0729382,2.564783523,30.29757263,21.06596761,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044573515,0.092039946,0.224763255,0.03863869,0.433575608,0.014803817,0.028964233,0.000965609,16.39345192,8.491954656,0.003650147,3.608313111,0.068158436,2.585403884,15.34226208,0.026080848,1.295504407,1.129293521,24.86112,0.478272,9.244032,0.368928,1.9555632,1.9555632,0.071199238,0.02132663,0.062726193,0.02537208,0.008794094,0.00080612,7.571136,0.02256,7.644,0.051744,0.5724576,0.5724576,0.138564708,0.005505264,0.03743384,0.001681101,0.007574621,0.000224732,36.20343472,2.047189315,15.97116677,0.575458048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019538338,0.005723019,0.002351803,0.000319806,137.5572059,113.7518208,5.487623985,0.771632036,0.335566946,0,0.056660381,0,1.102033471,0,0.187667428,0,-20.6589,1,7.8679,1,-20.59789903,1,7.921907086,1,0.000987995,0.0212481,0.000253741,0.005949071,0,0
TN303,1,2089,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,35,273.7,0.538175868,3.642162516,0.134477701,110.3192594,97.51580341,0.080684785,1.946730867,0.002548399,693.4427968,377356.8738,0.138268528,31.28624755,72.83446081,373.1090069,1042.029803,14.40346331,114.0521624,58.86502234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0783,0.612088,0.174389,10.079994,7.705345,0.0203,0.241633,0.0322,126.944839,41373.54062,0.0443,10.225472,6.108187,12.972703,90.824435,1.075589,7.380016,4.229772,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,55.608144,0.850512,25.599168,0.287616,7.5580416,7.5580416,0.232872581,0.04263073,0.095781411,0.010121017,0.032202018,0.001127989,9.588,0.040608,7.2912,0.092064,0.9087264,0.9087264,nd,nd,nd,nd,nd,nd,89.12620961,7.611381889,nd,nd,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0.075516962,0.009080956,0.004167387,0.000566695,380.9447272,108.5034336,4.283779842,1.3673293,0.425006653,0,0.059096691,0,2.46488693,0,0.368610418,0,-20.3355,1,6.1357,1,-20.2362926,1,6.200852958,1,0.001820047,0.037651559,0.000467432,0.010541734,0,0
TN303,1,2090,4013,2013-10-29T07:15:00,3,-12.00566667,-79.195,5500,15,154.9,1.682471632,1.93503502,0.743783621,59.60618472,50.84888685,0.354302655,2.993330642,0.042977626,3307.610133,115302.4352,0.468901092,136.4792161,34.01555814,120.8103185,1297.116447,9.003178558,56.77746599,54.78205081,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.172629,0.516103,0.319604,4.322235,4.512941,0.0386,0.38016,0.0586,261.41293,12642.27443,0.0949,23.26804,2.87071,5.476047,144.253155,0.679211,11.183052,7.179546,578.5,0.224289109,1.226099082,0.353256524,9.787681364,5.748635312,0.059035245,1.760588743,0.015478864,805.272292,8378.621297,0.098138146,517.779457,6.439694594,83.23498885,8914.987709,1.054511524,9.501787807,13.13665915,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.078984114,0.163094466,0.39827971,0.068467625,0.768294479,0.026232313,0.05132452,0.001711056,29.04914013,15.04771429,0.006468048,6.393918359,0.120776513,4.581326743,27.18643537,0.046215173,2.295629331,2.001104215,84.417264,1.301712,17.248896,0.409248,15.8937048,15.8937048,1.110764597,0.087787924,0.064197058,0.016505536,0.009443544,0.000482465,4.879728,0.072192,6.917568,0.14112,1.521216,1.521216,0.270427262,0.009755308,0.934882978,0.002978904,0.006976301,0.000398225,118.74427,15.95243718,14.53079854,1.529616593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158808324,0.015199717,0.006391393,0.000869123,256.6836958,102.9371844,6.090863845,2.097030753,0.216319373,0,0.023343263,0,3.741880687,0,0.565392322,0,-19.2874,1,4.3686,4,-18.82506521,1,4.522070867,4,0.003215926,0.057745034,0.000825927,0.016167532,0,0
TN303,1,2162,4021,2013-10-30T02:31:00,9,-12.00566667,-79.195,5500,3600,271.62,0.848378868,0.456941838,0.117975984,0.262067818,164.9241728,0.380089071,0.22644064,0.085891415,5696.941787,1212.569652,0.779808279,132.6794743,10.61648902,52.21935344,1544.928044,0.440331495,8.602141064,87.96641481,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.165096,0.175979,0.1,0.0711,47.018035,0.0724,0.0869,0.0257,924.185049,156.292865,0.119912,18.693385,1.549975,9.15353,260.82271,0.0894,1.531825,15.462019,1223.3,0.104816797,0.096335241,0.018040903,0.022624969,21.48419532,0.046580075,0.049097804,0.01163463,832.3899811,81.8382159,0.118757193,22.96234801,1.426056944,6.194888858,264.8155856,0.07652659,2.179228734,6.17381158,0,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0.03735168,0.077127563,0.188346941,0.03237842,0.363327357,0.012405292,0.024271426,0.000809161,13.73737233,7.116081679,0.003058747,3.023691466,0.057115354,2.166514772,12.85649707,0.021855209,1.085605794,0.946324523,2.393616,0.401568,1.242528,0.06384,1.8074448,1.8074448,1.913152093,0.310360651,0.03689676,0.034789444,0.002720976,0.000843647,0.266208,0.024816,0.458976,0.04368,0.1421136,0.1421136,0.279533949,0.004613297,0.009569074,0.001408727,0.000272868,0.000188321,7.396358629,1.878980254,1.15667349,0.151431964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018062566,0.001416932,0.001970762,0.000267991,18.48810478,6.825278806,0.949054372,0.646611624,0.011808344,0,0.000727666,0,0.106052718,0,0.012633376,0,-22.1425,1,-2.3643,4,-21.25816131,1,-6.450216044,4,0.001100391,0.017805466,0.000282607,0.004985198,0,0
